Filename,Comp,RT,Area
20220718_51,M109.P01,5.572,17166
20220718_51,N108.P01,7.179,555774
20220718_51,N059.P06,9.098,203154
20220718_51,N093.P02,9.168,3999
20220718_51,N094.P04,9.277,42220
20220718_51,Q081.P01,9.472,7906
20220718_51,Q125.P01,9.863,1672
20220718_51,Q085.P01,10.234,32657
20220718_51,S113.P01,15.852,41964
20220718_51,S133.P01,16.121,600773
20220718_51,S084.P01,16.22,3481
20220718_51,S131.P01,16.237,1742
20220718_51,S150.P01,17.026,37076
20220718_51,S136.P01,17.108,159218
20220718_51,S105.P04,17.893,16635
20220718_51,S114.P02,18.179,4735
20220718_51,S147.P03,19.202,85753
20220718_51,T091.P08,25.176,38789
20220718_55,M071.P01,2.75,130225
20220718_55,M043.P08,3.977,435227
20220718_55,M045.P07,4.369,665747
20220718_55,M069.P05,4.81,12939
20220718_55,N108.P01,7.242,79215
20220718_55,W116.P01,8.222,1617
20220718_55,N093.P02,9.168,17725
20220718_55,N094.P04,9.33,18477
20220718_55,Q081.P01,9.472,5504
20220718_55,R085.P01,12.807,10135
20220718_55,S113.P01,15.877,68173
20220718_55,S133.P01,16.128,614559
20220718_55,S084.P01,16.213,34606
20220718_55,S150.P01,17.027,97279
20220718_55,S099.P01,17.11,7028
20220718_55,S136.P01,17.118,202434
20220718_55,S105.P04,17.89,13202
20220718_61,M071.P01,2.834,104715
20220718_61,M043.P03,3.166,43314
20220718_61,M056.P02,3.17,33398
20220718_61,M045.P07,4.359,614520
20220718_61,M055.P05,4.637,17240
20220718_61,M109.P01,5.558,35175
20220718_61,N070.P03,8.928,3416
20220718_61,Q081.P01,9.453,2457
20220718_61,S100.P01,15.806,6251
20220718_61,S113.P01,15.865,51279
20220718_61,S133.P01,16.121,599810
20220718_61,S084.P01,16.21,18248
20220718_61,S150.P01,17.026,90336
20220718_61,S099.P01,17.059,8968
20220718_61,S136.P01,17.109,218530
20220718_61,S105.P04,17.894,25297
20220718_61,S091.P02,18.54,6599
20220718_61,S147.P03,19.204,56700
20220718_61,T091.P08,25.174,33763
20220718_61,T057.P13,30.42,5918
20230103_06,M045.P02,3.239,20426
20230103_06,M045.P07,4.337,1053246
20230103_06,V056.P03,4.487,5373
20230103_06,M057.P08,4.634,32638
20230103_06,N058.P02,5.744,77512
20230103_06,N074.P02,7.326,697732
20230103_06,N057.P06,7.697,9809
20230103_06,N093.P02,9.134,6287
20230103_06,N044.P11,9.214,10407
20230103_06,N059.P06,9.22,70930
20230103_06,Q081.P01,9.431,5622
20230103_06,Q097.P03,11.363,0
20230103_06,R085.P01,12.724,22017
20230103_06,S113.P01,15.829,32207
20230103_06,S133.P01,16.088,599328
20230103_06,S084.P01,16.179,3677
20230103_06,S150.P01,16.993,54182
20230103_06,S136.P01,17.1,96438
20230103_06,S095.P01,18.178,3861
20230103_06,T091.P08,25.146,28589
20230103_07,M071.P01,2.727,132468
20230103_07,M045.P06,4.138,201643
20230103_07,V069.P04,4.338,190589
20230103_07,M045.P07,4.342,1310984
20230103_07,N108.P01,7.213,105364
20230103_07,N070.P03,8.93,6069
20230103_07,N093.P02,9.117,2557
20230103_07,Q081.P01,9.434,8012
20230103_07,Q108.P04,10.801,34832
20230103_07,R085.P01,12.783,34514
20230103_07,S113.P01,15.845,43828
20230103_07,S133.P01,16.091,580436
20230103_07,S084.P01,16.174,20154
20230103_07,S150.P01,16.991,42937
20230103_07,S136.P01,17.096,102694
20230103_07,S105.P04,17.857,6162
20230103_07,S147.P03,19.198,19792
20230103_07,T091.P08,25.14,29438
20230103_09,M071.P01,2.737,61379
20230103_09,M045.P02,3.184,228182
